"No","地域階層","地域コード","Item number","地域","District","昼間人口 Daytime population／昭和60年 1985","昼間人口 Daytime population／平成2年 1990","昼間人口 Daytime population／平成7年 1995","昼間人口 Daytime population／平成12年 2000","昼間人口 Daytime population／平成17年 2005","昼間人口 Daytime population／平成22年 2010","昼間人口 Daytime population／平成27年 2015","昼間人口 Daytime population／平成27年 2015／男 Male","昼間人口 Daytime population／平成27年 2015／女 Female","常住人口 De jure population 1)／昭和60年 1985","常住人口 De jure population 1)／平成2年 1990","常住人口 De jure population 1)／平成7年 1995","常住人口 De jure population 1)／平成12年 2000","常住人口 De jure population 1)／平成17年 2005","常住人口 De jure population 1)／平成22年 2010","常住人口 De jure population 1)／平成27年 2015","常住人口 De jure population 1)／平成27年 2015／男 Male","常住人口 De jure population 1)／平成27年 2015／女 Female"
12,0,13000,,総数,Tokyo-to,13997649,14483495,14571809,14666899,14977580,15576130,15920405,8276840,7643565,11819486,11762030,11734920,12017253,12415786,13159388,13515271,6666690,6848581
13,1,13100,,区部,All ku,10958178,11287948,11191345,11125135,11284699,11711537,12033592,6429520,5604072,8346709,8099153,7935211,8092268,8351955,8945695,9272740,4567247,4705493
14,2,13101,1,千代田区,Chiyoda-ku,1009291,1036609,949900,855172,853382,819247,853068,541135,311933,50493,39305,34758,36016,41683,47115,58406,29343,29063
15,2,13102,2,中央区,Chuo-ku,693960,748288,700865,648366,647733,605926,608603,371513,237090,79936,67621,63807,72233,98220,122762,141183,67536,73647
16,2,13103,3,港区,Minato-ku,819495,883952,849786,837658,908940,886173,940785,578045,362740,192615,156325,144233,159336,185732,205131,243283,114717,128566
17,2,13104,4,新宿区,Shinjuku-ku,756362,817095,806095,798611,770094,750120,775549,438794,336755,332564,291152,276011,286173,303808,326309,333560,167258,166302
18,2,13105,5,文京区,Bunkyo-ku,325391,339161,345087,342603,336229,345423,346132,179619,166513,195855,180322,172332,175872,189564,206626,219724,105990,113734
19,2,13106,6,台東区,Taito-ku,332227,347738,342681,317700,303522,294756,303931,173096,130835,176720,162345,152961,156073,163528,175928,198073,101982,96091
20,2,13107,7,墨田区,Sumida-ku,269029,267595,270261,257972,262514,279272,279181,147129,132052,229911,222270,215421,215865,231092,247606,256274,127925,128349
21,2,13108,8,江東区,Koto-ku,384438,412935,438253,454680,490708,548976,608532,342450,266082,388923,384904,365575,376784,420827,460819,498109,246750,251359
